frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,10,3,4,2,0,19,0.5263157894736842
1,11,2,4,1,0,18,0.6111111111111112
2,10,3,4,2,0,19,0.5263157894736842
3,10,3,4,2,0,19,0.5263157894736842
4,11,3,4,2,0,20,0.55
5,9,3,4,2,0,18,0.5
6,11,3,4,2,0,20,0.55
7,10,3,4,2,0,19,0.5263157894736842
8,9,3,4,2,0,18,0.5
9,11,3,4,2,0,20,0.55
10,9,3,4,2,0,18,0.5
11,10,3,4,2,0,19,0.5263157894736842
12,11,3,4,2,0,20,0.55
13,10,3,4,2,0,19,0.5263157894736842
14,9,3,4,2,0,18,0.5
15,10,3,4,2,0,19,0.5263157894736842
16,9,3,4,2,0,18,0.5
17,9,2,4,2,0,17,0.5294117647058824
18,10,3,4,2,0,19,0.5263157894736842
19,9,3,4,2,0,18,0.5
20,9,3,4,2,0,18,0.5
21,8,3,4,2,0,17,0.47058823529411764
22,9,3,4,2,0,18,0.5
23,9,3,4,3,0,19,0.47368421052631576
24,10,3,4,2,0,19,0.5263157894736842
25,11,3,4,2,0,20,0.55
26,9,3,4,2,0,18,0.5
27,10,3,4,3,0,20,0.5
28,9,3,4,2,0,18,0.5
29,10,3,4,2,0,19,0.5263157894736842
30,9,2,4,2,0,17,0.5294117647058824
31,10,2,4,2,0,18,0.5555555555555556
32,9,3,4,2,0,18,0.5
33,10,3,4,2,0,19,0.5263157894736842
34,10,3,4,2,0,19,0.5263157894736842
35,9,3,4,2,0,18,0.5
36,9,3,4,2,0,18,0.5
37,10,3,4,2,0,19,0.5263157894736842
38,10,3,4,2,0,19,0.5263157894736842
39,10,3,4,2,0,19,0.5263157894736842
40,10,3,4,2,0,19,0.5263157894736842
41,9,3,4,2,0,18,0.5
42,11,3,4,2,0,20,0.55
43,10,3,4,1,0,18,0.5555555555555556
44,11,2,4,2,0,19,0.5789473684210527
45,10,3,4,3,0,20,0.5
46,11,3,4,2,0,20,0.55
47,9,3,4,3,0,19,0.47368421052631576
48,10,2,4,2,0,18,0.5555555555555556
49,11,3,4,2,0,20,0.55
50,10,2,4,2,0,18,0.5555555555555556
51,9,3,4,1,0,17,0.5294117647058824
52,9,2,4,2,0,17,0.5294117647058824
53,10,2,4,3,0,19,0.5263157894736842
54,9,2,4,2,0,17,0.5294117647058824
55,10,3,4,3,0,20,0.5
56,11,2,4,2,0,19,0.5789473684210527
57,10,3,4,2,0,19,0.5263157894736842
58,10,3,4,1,0,18,0.5555555555555556
59,11,3,4,2,0,20,0.55
60,9,3,4,3,0,19,0.47368421052631576
61,9,3,4,2,0,18,0.5
62,10,3,4,3,0,20,0.5
63,10,2,4,2,0,18,0.5555555555555556
64,11,3,4,2,0,20,0.55
65,10,3,4,2,0,19,0.5263157894736842
66,10,3,4,2,0,19,0.5263157894736842
67,10,3,4,2,0,19,0.5263157894736842
68,11,3,4,2,0,20,0.55
69,10,2,4,2,0,18,0.5555555555555556
70,10,2,4,2,0,18,0.5555555555555556
71,10,3,4,2,0,19,0.5263157894736842
72,9,3,4,2,0,18,0.5
73,10,3,4,1,0,18,0.5555555555555556
74,9,3,4,2,0,18,0.5
75,9,3,4,2,0,18,0.5
76,10,3,4,2,0,19,0.5263157894736842
77,10,2,4,2,0,18,0.5555555555555556
78,11,2,4,3,0,20,0.55
79,11,2,4,3,0,20,0.55
80,11,3,4,2,0,20,0.55
81,10,3,4,2,0,19,0.5263157894736842
82,11,2,4,3,0,20,0.55
83,10,3,4,3,0,20,0.5
84,10,3,4,1,0,18,0.5555555555555556
85,10,3,4,2,0,19,0.5263157894736842
86,10,3,4,2,0,19,0.5263157894736842
87,10,2,4,2,0,18,0.5555555555555556
88,10,2,4,2,0,18,0.5555555555555556
89,10,2,4,2,0,18,0.5555555555555556
90,9,3,4,3,0,19,0.47368421052631576
91,10,2,4,3,0,19,0.5263157894736842
92,10,2,4,2,0,18,0.5555555555555556
93,9,3,4,2,0,18,0.5
94,10,2,4,3,0,19,0.5263157894736842
95,10,3,4,3,0,20,0.5
96,9,3,4,3,0,19,0.47368421052631576
97,9,3,4,2,0,18,0.5
98,9,3,4,1,0,17,0.5294117647058824
99,10,3,4,2,0,19,0.5263157894736842
100,10,3,4,1,0,18,0.5555555555555556
101,10,2,4,1,0,17,0.5882352941176471
102,11,3,4,2,0,20,0.55
103,11,3,4,1,0,19,0.5789473684210527
104,10,2,4,0,0,16,0.625
105,10,2,4,0,0,16,0.625
106,10,3,4,1,0,18,0.5555555555555556
107,10,3,4,1,0,18,0.5555555555555556
108,10,2,4,1,0,17,0.5882352941176471
109,11,2,4,1,0,18,0.6111111111111112
110,11,2,4,1,0,18,0.6111111111111112
111,9,2,4,0,0,15,0.6
112,10,3,4,2,0,19,0.5263157894736842
113,10,3,4,1,0,18,0.5555555555555556
114,10,3,4,2,0,19,0.5263157894736842
115,10,2,4,2,0,18,0.5555555555555556
116,10,3,4,1,0,18,0.5555555555555556
117,10,3,4,0,0,17,0.5882352941176471
118,9,3,4,1,0,17,0.5294117647058824
119,10,3,4,2,0,19,0.5263157894736842
120,10,3,4,1,0,18,0.5555555555555556
121,10,2,4,1,0,17,0.5882352941176471
122,10,3,4,2,0,19,0.5263157894736842
123,11,3,4,2,0,20,0.55
124,10,2,4,1,0,17,0.5882352941176471
125,9,2,4,2,0,17,0.5294117647058824
126,10,2,4,1,0,17,0.5882352941176471
127,10,2,4,2,0,18,0.5555555555555556
128,10,2,4,1,0,17,0.5882352941176471
129,10,4,4,1,0,19,0.5263157894736842
130,10,2,4,0,0,16,0.625
131,11,3,4,2,0,20,0.55
132,10,2,4,1,0,17,0.5882352941176471
133,10,2,4,2,0,18,0.5555555555555556
134,10,3,4,2,0,19,0.5263157894736842
135,9,3,4,2,0,18,0.5
136,9,3,4,3,0,19,0.47368421052631576
137,10,3,4,2,0,19,0.5263157894736842
138,8,3,4,2,0,17,0.47058823529411764
139,9,3,4,3,0,19,0.47368421052631576
140,10,3,4,1,0,18,0.5555555555555556
141,10,1,3,1,0,15,0.6666666666666666
142,10,3,3,1,0,17,0.5882352941176471
143,10,2,3,1,0,16,0.625
144,10,3,3,1,0,17,0.5882352941176471
145,10,3,3,0,0,16,0.625
146,10,3,3,1,0,17,0.5882352941176471
147,9,3,3,0,0,15,0.6
148,10,3,3,1,0,17,0.5882352941176471
149,9,3,3,0,0,15,0.6
150,10,2,3,1,0,16,0.625
151,9,3,3,0,0,15,0.6
152,10,3,3,2,0,18,0.5555555555555556
153,10,3,3,0,0,16,0.625
154,10,2,4,2,0,18,0.5555555555555556
155,10,3,3,1,0,17,0.5882352941176471
156,9,3,4,1,0,17,0.5294117647058824
157,10,2,3,0,0,15,0.6666666666666666
158,11,3,2,0,0,16,0.6875
159,9,3,3,0,0,15,0.6
160,10,3,3,1,0,17,0.5882352941176471
161,11,3,3,0,0,17,0.6470588235294118
162,10,2,3,0,0,15,0.6666666666666666
163,10,3,3,0,0,16,0.625
164,11,3,3,0,0,17,0.6470588235294118
165,11,3,3,0,0,17,0.6470588235294118
166,11,3,2,1,0,17,0.6470588235294118
167,11,3,3,0,0,17,0.6470588235294118
168,9,3,3,1,0,16,0.5625
169,10,3,3,1,0,17,0.5882352941176471
170,10,3,3,3,0,19,0.5263157894736842
171,11,3,3,1,0,18,0.6111111111111112
172,11,3,3,1,0,18,0.6111111111111112
173,11,3,3,1,0,18,0.6111111111111112
174,10,3,3,2,0,18,0.5555555555555556
175,10,4,3,1,0,18,0.5555555555555556
176,10,3,3,0,0,16,0.625
177,11,3,3,1,0,18,0.6111111111111112
178,9,3,3,0,0,15,0.6
179,11,3,3,0,0,17,0.6470588235294118
180,11,3,3,0,0,17,0.6470588235294118
181,10,2,3,1,0,16,0.625
182,11,3,3,1,0,18,0.6111111111111112
183,11,3,2,1,0,17,0.6470588235294118
184,11,3,3,1,0,18,0.6111111111111112
185,11,3,3,0,0,17,0.6470588235294118
186,10,2,3,1,0,16,0.625
