frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,13,2,2,0,0,17,0.7647058823529411
1,12,1,3,0,0,16,0.75
2,12,1,4,0,0,17,0.7058823529411765
3,12,1,3,0,0,16,0.75
4,13,1,4,0,0,18,0.7222222222222222
5,13,1,4,0,0,18,0.7222222222222222
6,11,1,4,0,0,16,0.6875
7,11,1,3,0,0,15,0.7333333333333333
8,10,1,4,0,0,15,0.6666666666666666
9,12,1,4,0,0,17,0.7058823529411765
10,11,1,3,0,0,15,0.7333333333333333
11,13,1,4,0,0,18,0.7222222222222222
12,12,1,3,0,0,16,0.75
13,13,1,4,0,0,18,0.7222222222222222
14,11,1,4,0,0,16,0.6875
15,12,1,4,0,0,17,0.7058823529411765
16,12,1,4,0,0,17,0.7058823529411765
17,11,1,4,0,0,16,0.6875
18,12,1,3,0,0,16,0.75
19,13,1,3,0,0,17,0.7647058823529411
20,14,1,3,0,0,18,0.7777777777777778
21,12,1,3,0,0,16,0.75
22,11,1,4,0,0,16,0.6875
23,9,1,4,0,0,14,0.6428571428571429
24,13,1,4,0,0,18,0.7222222222222222
25,10,1,4,0,0,15,0.6666666666666666
26,11,1,3,0,0,15,0.7333333333333333
27,12,1,2,0,0,15,0.8
28,11,1,3,0,0,15,0.7333333333333333
29,12,1,3,0,0,16,0.75
30,14,1,4,0,0,19,0.7368421052631579
31,11,1,4,0,0,16,0.6875
32,13,1,4,0,0,18,0.7222222222222222
33,11,1,4,0,0,16,0.6875
34,12,1,3,0,0,16,0.75
35,11,1,4,0,0,16,0.6875
36,12,1,2,0,0,15,0.8
37,10,1,4,0,0,15,0.6666666666666666
38,12,1,4,0,0,17,0.7058823529411765
39,13,1,3,0,0,17,0.7647058823529411
40,11,1,3,0,0,15,0.7333333333333333
41,11,1,3,0,0,15,0.7333333333333333
42,11,1,4,0,0,16,0.6875
43,14,1,4,0,0,19,0.7368421052631579
44,12,1,4,0,0,17,0.7058823529411765
45,11,1,4,0,0,16,0.6875
46,11,1,4,0,0,16,0.6875
47,11,1,4,0,0,16,0.6875
48,12,1,3,0,0,16,0.75
49,14,1,4,0,0,19,0.7368421052631579
50,11,1,4,0,0,16,0.6875
