frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
0,14,2,3,0,0,19,0.7368421052631579
1,14,2,4,0,0,20,0.7
2,13,2,3,0,0,18,0.7222222222222222
3,14,2,3,0,0,19,0.7368421052631579
4,13,2,3,0,0,18,0.7222222222222222
5,14,2,3,0,0,19,0.7368421052631579
6,14,2,3,0,0,19,0.7368421052631579
7,14,2,3,0,0,19,0.7368421052631579
8,14,2,3,0,0,19,0.7368421052631579
9,15,2,3,0,0,20,0.75
10,13,2,3,0,0,18,0.7222222222222222
11,15,2,3,0,0,20,0.75
12,16,2,3,0,0,21,0.7619047619047619
13,14,2,3,0,0,19,0.7368421052631579
14,13,3,3,0,0,19,0.6842105263157895
15,14,2,3,0,0,19,0.7368421052631579
16,16,2,3,0,0,21,0.7619047619047619
17,14,2,3,0,0,19,0.7368421052631579
18,15,2,3,0,0,20,0.75
19,16,2,3,0,0,21,0.7619047619047619
20,15,2,3,0,0,20,0.75
21,15,3,3,0,0,21,0.7142857142857143
22,14,2,3,0,0,19,0.7368421052631579
23,14,2,3,0,0,19,0.7368421052631579
24,15,2,3,0,0,20,0.75
25,15,2,3,0,0,20,0.75
26,15,2,3,0,0,20,0.75
27,13,2,3,0,0,18,0.7222222222222222
28,14,3,3,0,0,20,0.7
29,15,2,3,0,0,20,0.75
30,14,2,3,0,0,19,0.7368421052631579
31,16,2,3,0,0,21,0.7619047619047619
32,13,2,3,0,0,18,0.7222222222222222
33,14,2,3,1,0,20,0.7
34,14,2,3,0,0,19,0.7368421052631579
35,16,2,3,0,0,21,0.7619047619047619
36,16,2,3,0,0,21,0.7619047619047619
37,15,3,3,0,0,21,0.7142857142857143
38,15,2,3,0,0,20,0.75
39,16,2,3,0,0,21,0.7619047619047619
40,17,2,3,0,0,22,0.7727272727272727
41,15,2,3,0,0,20,0.75
42,16,2,3,0,0,21,0.7619047619047619
43,15,2,3,0,0,20,0.75
44,15,2,3,0,0,20,0.75
45,15,2,3,0,0,20,0.75
46,15,3,3,0,0,21,0.7142857142857143
47,15,3,3,0,0,21,0.7142857142857143
48,17,3,3,0,0,23,0.7391304347826086
49,18,3,3,0,0,24,0.75
50,13,3,3,0,0,19,0.6842105263157895
51,16,3,3,0,0,22,0.7272727272727273
52,17,2,3,0,0,22,0.7727272727272727
53,15,2,3,0,0,20,0.75
54,15,2,3,0,0,20,0.75
55,16,3,3,0,0,22,0.7272727272727273
56,15,2,3,0,0,20,0.75
