feature_kind,region,column,n_binder,n_fp,mean_binder,mean_fp,cohens_d,auc,p,q
late_mean,Gate,Gate RMSD late100 mean (A),47,48,1.9776765957446811,2.7432520833333336,-0.6762196258434549,0.30984042553191493,0.001424696124957744,0.01082280000853151
mean,Gate,Gate RMSD mean (A),47,48,2.0286361702127658,2.5839416666666666,-0.5644805492298829,0.3100620567375887,0.0014430400011375345,0.01082280000853151
late_mean,Latch,Latch RMSD late100 mean (A),47,48,2.2565000000000004,2.8483000000000005,-0.6483699766664073,0.3187056737588652,0.002360072229957392,0.011800361149786961
mean,Latch,Latch RMSD mean (A),47,48,2.193791489361702,2.6163583333333333,-0.5843080711024322,0.32712765957446804,0.0037399872997526218,0.01292583019731811
late_mean,Whole,Whole RMSD late100 mean (A),47,48,2.012910638297873,2.1976979166666664,-0.2818838791071926,0.3297872340425532,0.004308610065772703,0.01292583019731811
mean,Lb7a5,Lb7a5 RMSD mean (A),47,48,2.6435702127659573,2.997458333333334,-0.4779663405545398,0.34796099290780147,0.010789382446705194,0.026973456116762985
mean,Whole,Whole RMSD mean (A),47,48,1.8852446808510634,1.99105625,-0.23982698420605503,0.36569148936170215,0.024341135026227232,0.04093686444039486
late_mean,Lb7a5,Lb7a5 RMSD late100 mean (A),47,48,2.8578936170212765,3.2695062499999996,-0.3523328019656145,0.36569148936170215,0.024341135026227232,0.04093686444039486
slope,Whole,Whole slope (A/ns),47,48,0.0008389361702127658,0.0011766875,-0.20454478521950475,0.36790780141843976,0.026795543458124384,0.04093686444039486
slope,Gate,Gate slope (A/ns),47,48,-0.00037389361702127655,0.0009914791666666668,-0.5233905968931304,0.36968085106382975,0.028910202186245487,0.04093686444039486
mean,Recoil,Recoil RMSD mean (A),47,48,1.6644297872340426,1.8514104166666667,-0.3546139666563386,0.37056737588652483,0.03002036725628957,0.04093686444039486
slope,Latch,Latch slope (A/ns),47,48,0.0005817234042553192,0.0013987708333333335,-0.3408761300443993,0.38563829787234044,0.055271259149157086,0.06908907393644635
late_mean,Recoil,Recoil RMSD late100 mean (A),47,48,1.7794531914893617,1.9559333333333333,-0.2551613705801397,0.3882978723404255,0.061196106163505834,0.07061089172712212
slope,Lb7a5,Lb7a5 slope (A/ns),47,48,0.0009975319148936167,0.0016669375,-0.23201507543944805,0.42065602836879434,0.18394871781219824,0.19708791194164096
slope,Recoil,Recoil slope (A/ns),47,48,0.0006402765957446809,0.0007692083333333332,-0.08898456693752824,0.46409574468085113,0.549030751466103,0.549030751466103
