Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
seq16_binder,Binder,0.505,0.0915,0.0,,0.0,,0.0,
seq14_binder,Binder,0.38,0.02889,0.0,,0.0,,0.0,
seq10_binder,Binder,0.5242,0.07101,0.0,,0.0,,0.0,
seq17_binder,Binder,0.205,0.0,0.0,,0.0,,0.0,
seq39_binder,Binder,0.4668,0.10151,0.0,,0.0,,0.0,
seq42_binder,Binder,0.15467,0.02656,0.0,,0.0,,0.0,
pair_3069_binder,Binder,0.41514,0.04919,0.0,,0.0,,0.0,
pair_3070_binder,Binder,0.411,0.14764,0.0,,0.0,,0.0,
pair_3074_binder,Binder,0.898,0.43119,0.0,,0.0,,0.0,
pair_3092_binder,Binder,0.898,0.43119,0.0,,0.0,,0.0,
pair_3098_binder,Binder,0.68171,0.22736,0.0,,0.0,,0.0,
pair_3059_nb,False Positive,0.62833,0.20913,0.0,,0.0,,0.0,
pair_3062_binder,Binder,0.64457,0.18909,0.0,,0.0,,0.0,
pair_3063_binder,Binder,0.54363,0.05929,0.0,,0.0,,0.0,
pair_3066_binder,Binder,0.132,0.0,0.0,,0.0,,0.0,
pair_3067_binder,Binder,0.40544,0.05208,0.0,,0.0,,0.0,
pair_3068_binder,Binder,,,0.0,,0.0,,0.0,
pair_3071_binder,Binder,0.426,0.1622,0.0,,0.0,,0.0,
pair_3072_binder,Binder,0.6856,0.21059,0.0,,0.0,,0.0,
pair_3073_binder,Binder,0.379,0.04451,0.0,,0.0,,0.0,
pair_3075_binder,Binder,0.53733,0.07586,0.0,,0.0,,0.0,
pair_3076_binder,Binder,0.788,0.12702,0.0,,0.0,,0.0,
pair_3077_binder,Binder,0.7288,0.11364,0.0,,0.0,,0.0,
pair_3078_binder,Binder,0.26457,0.0522,0.3284,0.04184,0.49075,0.11368,0.28069,0.05703
pair_3079_binder,Binder,0.45575,0.14626,0.0,,0.0,,0.0,
pair_3080_binder,Binder,0.30143,0.04504,0.387,0.13647,0.54925,0.13501,0.51931,0.18699
pair_3085_binder,Binder,0.491,0.13077,0.0,,0.0,,0.0,
pair_3086_binder,Binder,0.153,0.0,0.0,,0.0,,0.0,
pair_3087_binder,Binder,0.5145,0.12442,0.0,,0.0,,0.0,
pair_3088_binder,Binder,0.43144,0.10895,0.0,,0.0,,0.0,
pair_3091_binder,Binder,0.389,0.0,0.0,,0.0,,0.0,
