seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
seq16_binder,core,1334,0.0,500.0,0.7669,0.9198,0.7309,0.6252,0.7054,0.0,271,646,1.1541,0.75,Binder
seq14_binder,core,1334,0.0,500.0,0.2511,0.3546,0.2279,0.2159,0.2549,0.375,70,67,1.5429,0.375,Binder
seq10_binder,core,1334,0.0,500.0,0.5232,0.3703,0.2406,0.1559,0.1642,0.0,99,162,0.7879,0.375,Binder
seq17_binder,core,1334,0.0,500.0,0.1769,0.7646,0.1657,0.1522,0.1837,0.375,83,133,0.9172,0.375,Binder
seq39_binder,core,1334,0.0,500.0,0.7024,0.6094,0.4805,0.3456,0.3703,0.75,173,217,0.9993,0.375,Binder
seq42_binder,core,1334,0.0,500.0,0.6387,0.9708,0.6259,0.416,0.4603,9.75,291,520,0.7152,0.375,Binder
pair_3069_binder,core,1334,0.0,500.0,0.2504,0.9753,0.2474,0.1469,0.1537,0.375,144,170,0.5104,0.375,Binder
pair_3070_binder,core,1334,0.0,500.0,0.8261,0.7939,0.7099,0.6589,0.7804,3.75,130,225,2.5356,0.75,Binder
pair_3074_binder,core,1334,0.0,500.0,0.8021,0.8441,0.6859,0.4415,0.5045,2.25,176,439,1.255,0.375,Binder
pair_3092_binder,core,1334,0.0,500.0,0.7744,0.9085,0.7226,0.6709,0.8246,0.0,196,353,1.7124,0.75,Binder
pair_3098_binder,core,1334,0.0,500.0,0.5705,0.6994,0.458,0.2339,0.2489,3.0,137,212,0.854,0.375,Binder
pair_3059_nb,core,1334,0.0,500.0,0.5952,0.9183,0.5622,0.3786,0.4228,0.75,285,428,0.6645,0.375,False Positive
pair_3062_binder,core,1334,0.0,500.0,0.6477,0.7586,0.5855,0.5442,0.6267,10.125,68,227,4.0037,0.375,Binder
pair_3063_binder,core,1334,0.0,500.0,0.7406,0.8568,0.6529,0.404,0.485,4.5,249,427,0.8117,0.375,Binder
pair_3066_binder,core,1334,0.0,500.0,0.6349,0.6679,0.5375,0.449,0.5307,0.375,202,524,1.112,0.75,Binder
pair_3067_binder,core,1334,0.0,500.0,0.7781,0.7646,0.5757,0.3381,0.3733,2.625,294,464,0.5753,0.375,Binder
pair_3068_binder,core,1334,0.0,500.0,0.6664,0.8958,0.6154,0.4595,0.515,0.375,281,559,0.8181,0.375,Binder
pair_3071_binder,core,1334,0.0,500.0,0.6102,0.3756,0.2976,0.2234,0.2549,0.375,148,213,0.7551,0.375,Binder
pair_3072_binder,core,1334,0.0,500.0,0.7549,0.9273,0.7099,0.4228,0.464,6.75,287,559,0.7369,0.375,Binder
pair_3073_binder,core,1334,0.0,500.0,0.6124,0.7001,0.4625,0.2054,0.2159,0.0,189,270,0.5437,0.375,Binder
pair_3075_binder,core,1334,0.0,500.0,0.7061,0.7069,0.6192,0.5675,0.6477,0.375,91,274,3.1195,0.375,Binder
pair_3076_binder,core,1334,0.0,500.0,0.6499,0.8021,0.542,0.2264,0.2489,0.75,166,298,0.6822,0.375,Binder
pair_3077_binder,core,1334,0.0,500.0,0.7886,0.8321,0.7421,0.7084,0.8231,5.25,104,352,3.4075,0.75,Binder
pair_3078_binder,core,1334,0.0,500.0,0.3613,0.2661,0.1762,0.1357,0.1514,1.125,111,161,0.6115,0.375,Binder
pair_3079_binder,core,1334,0.0,500.0,0.5952,0.6184,0.452,0.3561,0.3861,0.375,241,399,0.7391,0.375,Binder
pair_3080_binder,core,1334,0.0,500.0,0.2339,0.9025,0.2106,0.1582,0.1724,1.5,146,212,0.542,0.375,Binder
pair_3085_binder,core,1334,0.0,500.0,0.8876,0.9453,0.8696,0.8291,0.9213,2.625,79,266,5.25,0.75,Binder
pair_3086_binder,core,1334,0.0,500.0,0.485,0.087,0.0825,0.081,0.096,0.375,29,33,1.3966,0.375,Binder
