seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
bind_022_binder,core,1334,0.0,500.0,0.7219,0.946,0.7031,0.6034,0.7069,0.0,227,438,1.3298,0.75,Binder
bind_019_binder,core,1334,0.0,500.0,0.527,0.7714,0.434,0.2954,0.3253,18.0,212,320,0.6969,0.375,Binder
bind_020_binder,core,1334,0.0,500.0,0.7024,0.4805,0.4145,0.2706,0.3126,0.375,228,317,0.5938,0.375,Binder
nonb_006_nb,core,1334,0.0,500.0,0.5885,0.8711,0.533,0.455,0.5202,0.75,258,530,0.8823,0.375,False Positive
nonb_008_nb,core,1334,0.0,500.0,0.8988,0.7294,0.6754,0.3928,0.4333,1.125,270,482,0.7278,0.375,False Positive
nonb_009_nb,core,1334,0.0,500.0,0.5967,0.5015,0.3051,0.1694,0.1784,3.375,167,205,0.5075,0.375,False Positive
pair_3069_binder,core,1334,0.0,500.0,0.5817,0.6942,0.4385,0.1574,0.1769,0.0,128,164,0.6152,0.375,Binder
pair_3070_binder,core,1334,0.0,500.0,0.8156,0.982,0.8058,0.6687,0.7886,0.0,222,500,1.5068,0.75,Binder
pair_3074_binder,core,1334,0.0,500.0,0.6859,0.7481,0.545,0.2819,0.3088,0.0,249,353,0.5663,0.375,Binder
pair_3092_binder,core,1334,0.0,500.0,0.3958,0.7264,0.2909,0.2121,0.2489,3.0,149,295,0.7122,0.375,Binder
pair_3098_binder,core,1334,0.0,500.0,0.7196,0.5712,0.491,0.3913,0.4543,0.75,184,320,1.0639,0.375,Binder
pair_3059_nb,core,1334,0.0,500.0,0.8816,0.6342,0.5622,0.2999,0.3553,1.5,204,287,0.7353,0.375,False Positive
pair_3061_binder,core,1334,0.0,500.0,0.5795,0.7429,0.4918,0.2286,0.2601,4.5,173,192,0.6611,0.375,Binder
pair_3062_binder,core,1334,0.0,500.0,0.6537,0.8763,0.6259,0.4768,0.5345,16.5,248,433,0.9617,0.75,Binder
pair_3063_binder,core,1334,0.0,500.0,0.7399,0.7616,0.6582,0.5975,0.6814,10.125,135,306,2.2139,0.375,Binder
pair_3066_binder,core,1334,0.0,500.0,0.7474,0.9243,0.7166,0.6259,0.7496,2.25,120,338,2.6094,1.125,Binder
pair_3067_binder,core,1334,0.0,500.0,0.8028,0.8238,0.7061,0.5885,0.7114,1.125,224,454,1.3142,0.75,Binder
pair_3068_binder,core,1334,0.0,500.0,0.7661,0.9235,0.7436,0.6567,0.7601,4.125,167,379,1.9671,0.75,Binder
pair_3071_binder,core,1334,0.0,500.0,0.8576,0.976,0.8486,0.8141,0.9355,0.75,96,305,4.2422,1.125,Binder
pair_3072_binder,core,1334,0.0,500.0,0.7234,0.6897,0.5547,0.4603,0.5705,0.0,197,440,1.1688,0.75,Binder
pair_3073_binder,core,1334,0.0,500.0,0.6087,0.5727,0.3613,0.1387,0.1522,0.0,149,191,0.4656,0.375,Binder
pair_3075_binder,core,1334,0.0,500.0,0.4475,0.6109,0.3973,0.3523,0.4048,1.125,97,299,1.817,0.75,Binder
pair_3076_binder,core,1334,0.0,500.0,0.6244,0.9303,0.5937,0.3193,0.3666,0.0,219,435,0.7295,0.375,Binder
pair_3077_binder,core,1334,0.0,500.0,0.6027,0.8703,0.5645,0.461,0.5277,0.375,141,307,1.6356,0.75,Binder
pair_3078_binder,core,1334,0.0,500.0,0.4895,0.7069,0.3478,0.1462,0.1694,1.125,142,188,0.515,0.375,Binder
pair_3079_binder,core,1334,0.0,500.0,0.7324,0.8388,0.6732,0.56,0.6702,7.875,238,605,1.177,0.75,Binder
pair_3080_binder,core,1334,0.0,500.0,0.3621,0.5592,0.2211,0.1477,0.1589,0.0,120,167,0.6156,0.375,Binder
pair_3085_binder,core,1334,0.0,500.0,0.6874,0.3891,0.2984,0.1792,0.1987,0.375,110,198,0.8148,0.375,Binder
pair_3086_binder,core,1334,0.0,500.0,0.5952,0.6994,0.5787,0.5585,0.6109,2.25,224,361,1.2472,0.75,Binder
pair_3087_binder,core,1334,0.0,500.0,0.7159,0.6177,0.4648,0.1439,0.1574,0.0,146,185,0.4932,0.375,Binder
pair_3088_binder,core,1334,0.0,500.0,0.6777,0.8688,0.6124,0.5127,0.5825,0.75,255,502,1.0059,0.75,Binder
pair_3091_binder,core,1334,0.0,500.0,0.8096,0.9595,0.7886,0.7069,0.8621,0.375,221,652,1.6001,0.75,Binder
pair_3099_binder,core,1334,0.0,500.0,0.6709,0.494,0.3433,0.1312,0.1402,10.125,138,167,0.4755,0.375,Binder
pair_3100_binder,core,1334,0.0,500.0,0.2519,0.9348,0.2474,0.1934,0.2354,5.625,133,123,0.7274,0.75,Binder
pair_3101_binder,core,1334,0.0,500.0,0.7586,0.8568,0.7091,0.557,0.6664,0.0,230,701,1.2114,0.75,Binder
