Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
pair_3069_binder,Binder,0.37043,0.08798,0.317,0.03456,1.01238,0.3012,0.52131,0.13715
pair_3070_binder,Binder,0.31829,0.04939,0.4026,0.11465,0.85125,0.12535,0.49954,0.1552
pair_3074_binder,Binder,0.33371,0.0508,0.389,0.06417,0.86088,0.13512,0.57915,0.20629
pair_3092_binder,Binder,0.33371,0.0508,0.389,0.06417,0.86088,0.13512,0.57915,0.20629
pair_3098_binder,Binder,0.35357,0.06343,0.4556,0.08411,0.61638,0.13045,0.76723,0.36674
pair_3059_nb,False Positive,0.396,0.08626,0.619,0.15287,0.67488,0.13836,0.63831,0.17714
pair_3061_binder,Binder,0.34843,0.05943,0.3732,0.09704,0.47012,0.08275,0.49262,0.12932
pair_3062_binder,Binder,0.28986,0.03864,0.3612,0.0917,0.66912,0.11481,0.54246,0.10802
pair_3063_binder,Binder,0.35171,0.06673,0.4992,0.12501,0.70488,0.16951,0.61946,0.14862
pair_3066_binder,Binder,0.29957,0.05251,0.4664,0.05498,0.86475,0.13613,0.47108,0.10452
pair_3067_binder,Binder,0.47586,0.13031,0.4878,0.06738,0.7135,0.12711,0.45485,0.09699
pair_3068_binder,Binder,0.37529,0.08904,0.3828,0.10351,0.69637,0.14301,0.44869,0.14467
pair_3071_binder,Binder,0.34414,0.05848,0.5026,0.1615,0.65237,0.10227,0.33423,0.06716
pair_3072_binder,Binder,0.31814,0.05125,0.4138,0.08443,0.706,0.1357,0.36554,0.07351
pair_3073_binder,Binder,0.30314,0.05323,0.4434,0.11309,0.68675,0.0745,0.37623,0.08352
pair_3075_binder,Binder,0.30314,0.04625,0.3622,0.0664,1.35575,0.13755,0.53131,0.15019
pair_3076_binder,Binder,0.33586,0.06593,0.4664,0.12923,0.70175,0.11586,0.46515,0.11139
pair_3077_binder,Binder,0.30529,0.03823,0.476,0.11642,0.78137,0.21016,0.48377,0.13814
pair_3078_binder,Binder,0.33243,0.07332,0.3214,0.04172,0.9145,0.23187,0.43323,0.09625
pair_3079_binder,Binder,0.35086,0.05895,0.79,0.34194,0.65363,0.11897,0.51685,0.10608
pair_3080_binder,Binder,0.34743,0.07984,0.347,0.04027,0.59488,0.11121,0.37208,0.09273
pair_3085_binder,Binder,0.29571,0.03593,0.318,0.08841,0.636,0.12348,0.41223,0.11365
pair_3086_binder,Binder,0.27471,0.04982,0.3078,0.06298,0.50538,0.10531,0.55,0.12523
pair_3087_binder,Binder,0.39257,0.08701,0.5084,0.05085,0.513,0.09422,0.57254,0.1207
pair_3088_binder,Binder,0.33643,0.04441,0.4,0.0504,0.72437,0.16974,0.60885,0.15213
pair_3091_binder,Binder,0.32457,0.05836,0.3362,0.04166,0.85687,0.15978,0.48862,0.12882
pair_3099_binder,Binder,0.37671,0.08424,0.319,0.07898,0.90175,0.12498,0.73908,0.22951
pair_3100_binder,Binder,0.57314,0.19099,0.5668,0.14854,0.78112,0.12099,0.55692,0.20463
pair_3101_binder,Binder,0.33243,0.07467,0.3784,0.08214,0.7335,0.13788,0.40715,0.09614
