Sequence,Group,N frames,Gate RMSD mean (A),Gate RMSD SD (A),Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns),Lb7a5 RMSD mean (A),Lb7a5 RMSD SD (A),Lb7a5 RMSD early100 mean (A),Lb7a5 RMSD late100 mean (A),Lb7a5 drift100 (A),Lb7a5 slope (A/ns),Recoil RMSD mean (A),Recoil RMSD SD (A),Recoil RMSD early100 mean (A),Recoil RMSD late100 mean (A),Recoil drift100 (A),Recoil slope (A/ns),Whole RMSD mean (A),Whole RMSD SD (A),Whole RMSD early100 mean (A),Whole RMSD late100 mean (A),Whole drift100 (A),Whole slope (A/ns)
pair_3069_binder,Binder,12267,1.3274,0.4365,1.3613,1.3058,-0.0556,-0.00015,2.0488,0.3788,1.8433,2.1598,0.3165,0.000789,2.0223,0.7163,1.7643,2.1193,0.3549,0.000629,1.3074,0.3467,1.2705,1.5507,0.2802,0.00062,1.6712,0.1464,1.6061,1.7102,0.1041,0.000152
pair_3070_binder,Binder,12267,1.7942,0.5809,1.5427,2.2535,0.7109,0.002501,1.9524,0.5834,1.3223,2.2456,0.9233,0.002989,2.6439,1.0794,2.7061,3.5791,0.873,0.002145,1.5149,0.3907,1.1914,1.8648,0.6734,0.001614,1.7923,0.2827,1.5458,2.0171,0.4713,0.001582
pair_3074_binder,Binder,12267,1.1716,0.4115,1.0175,1.3031,0.2856,0.000444,2.4979,0.3209,2.4508,2.5001,0.0493,-0.000102,2.153,0.7544,2.0851,2.5827,0.4975,0.000709,1.1644,0.3671,1.0349,1.5853,0.5504,0.001308,1.8622,0.2099,1.7167,2.0993,0.3825,0.000971
pair_3092_binder,Binder,12267,1.2792,0.5301,1.7982,1.1047,-0.6934,-0.001879,2.5886,1.0893,2.8931,3.0809,0.1878,-0.000607,2.4443,0.8825,2.8887,2.0746,-0.814,-0.002261,1.2663,0.2818,1.2911,1.3095,0.0184,-0.000135,1.5874,0.2563,1.5974,1.7592,0.1618,0.000292
pair_3098_binder,Binder,12267,1.5859,0.6169,1.4269,1.3665,-0.0604,-0.000426,1.9424,0.4539,1.5219,2.3633,0.8414,0.002239,2.0779,0.7767,1.9438,1.819,-0.1248,4.7e-05,1.3288,0.3083,1.2801,1.1877,-0.0923,-0.000267,1.561,0.1876,1.5539,1.458,-0.0959,8e-06
pair_3059_nb,False Positive,12267,2.8842,0.6903,2.7532,3.1635,0.4102,0.000826,1.5826,0.463,1.4246,1.8702,0.4456,0.001156,1.9193,0.766,1.7439,2.1239,0.38,0.000897,1.4205,0.3059,1.3947,1.6195,0.2249,0.000576,2.3154,0.3825,2.1451,2.6655,0.5204,0.001362
pair_3061_binder,Binder,12267,1.2727,0.4745,1.3189,1.2123,-0.1067,-0.000353,1.956,0.3955,1.6277,1.8522,0.2246,0.000834,2.1307,0.6302,2.0505,2.0509,0.0004,2.3e-05,1.2626,0.2382,1.3925,1.2439,-0.1486,-0.000404,1.657,0.2004,1.4712,1.6541,0.1828,0.000472
pair_3062_binder,Binder,12267,1.5067,0.4687,1.2662,1.4331,0.1669,0.000459,3.182,1.0192,2.2957,3.8057,1.51,0.004866,2.5898,0.9335,2.2069,2.5558,0.3488,0.001444,1.212,0.2796,1.1883,1.2218,0.0335,0.00018,1.5933,0.1921,1.398,1.6328,0.2348,0.000603
pair_3063_binder,Binder,12267,2.0167,0.7749,1.5734,2.1774,0.604,0.002334,1.608,0.4141,1.7641,1.6325,-0.1316,-0.000149,1.9366,0.6078,2.2885,1.7062,-0.5823,-0.001464,1.6622,0.3197,1.7953,1.7673,-0.028,0.00012,1.8375,0.2034,1.719,1.893,0.174,0.000648
pair_3066_binder,Binder,12267,1.4123,0.5002,1.7676,1.3151,-0.4525,-0.001078,1.4653,0.4885,1.6904,1.29,-0.4004,-0.001352,2.5331,1.133,2.5086,3.2908,0.7823,0.001099,1.4917,0.4296,1.157,1.7875,0.6305,0.001621,1.5573,0.2233,1.2758,1.7395,0.4637,0.001156
pair_3067_binder,Binder,12267,1.5454,0.4649,1.6203,1.6007,-0.0196,0.000129,1.6806,0.5107,1.1798,1.6445,0.4647,0.000918,2.5276,1.073,1.7942,2.1009,0.3067,0.00041,1.61,0.4994,1.1601,1.8066,0.6465,0.002041,1.6386,0.233,1.4499,1.5303,0.0805,0.000311
pair_3068_binder,Binder,12267,1.3532,0.4959,1.3604,1.3353,-0.0251,-4e-05,1.4196,0.3681,1.6668,1.2462,-0.4207,-0.001197,2.7977,1.0305,2.6175,3.3952,0.7777,0.001368,1.461,0.404,1.1979,1.8182,0.6202,0.001613,1.5572,0.2188,1.3269,1.5696,0.2427,0.000413
pair_3071_binder,Binder,12267,1.1199,0.461,0.9865,1.2248,0.2383,0.000269,1.2528,0.3517,1.1301,1.3237,0.1936,0.000337,2.8136,0.961,3.145,2.4091,-0.7359,-0.002,1.2372,0.2959,1.2341,1.146,-0.0881,-0.000301,1.3887,0.1629,1.4572,1.3707,-0.0865,-0.000248
pair_3072_binder,Binder,12267,1.9273,0.798,1.2748,2.0685,0.7936,0.002893,1.8456,0.5533,1.5126,1.8474,0.3348,0.001218,2.2295,1.0426,2.3491,1.9889,-0.3602,-0.001897,1.5581,0.4778,1.4155,1.5909,0.1754,-5.3e-05,2.0062,0.4027,1.4469,2.4178,0.9709,0.002315
pair_3073_binder,Binder,12267,1.1758,0.382,1.4569,1.0565,-0.4004,-0.001023,1.7653,0.3939,1.5483,1.8012,0.2529,0.000729,1.9554,0.5018,2.0504,1.761,-0.2894,-0.000631,1.3984,0.3338,1.348,1.2904,-0.0575,-0.000418,1.6859,0.3867,1.4387,1.8423,0.4036,0.001564
pair_3075_binder,Binder,12267,1.3981,0.4394,1.5768,1.4307,-0.1461,-0.000463,1.6593,0.4051,1.5635,1.6964,0.1329,-8.9e-05,5.0054,1.7193,2.3238,6.277,3.9531,0.011194,2.4536,0.7319,1.6502,3.1227,1.4726,0.004388,1.8476,0.2469,1.6729,2.0911,0.4182,0.001239
pair_3076_binder,Binder,12267,1.2921,0.3639,1.2394,1.3816,0.1422,0.000489,1.7948,0.5397,1.5704,2.5727,1.0023,0.002454,2.6114,1.1318,2.3635,2.2062,-0.1573,7.7e-05,0.9797,0.2433,0.9622,0.9461,-0.0161,-1.1e-05,1.4926,0.2364,1.2632,1.6125,0.3493,0.000838
pair_3077_binder,Binder,12267,1.2165,0.4739,1.1164,1.2672,0.1508,0.000355,1.5988,0.4017,1.5019,1.4966,-0.0053,-0.000577,2.0118,0.7672,1.702,2.0068,0.3048,0.000998,1.3075,0.3374,1.1195,1.4948,0.3753,0.001118,1.723,0.2957,1.3612,1.8421,0.4808,0.001287
pair_3078_binder,Binder,12267,1.3246,0.4713,1.3393,1.1391,-0.2003,-0.000335,2.0791,0.3854,1.9687,2.0292,0.0605,0.000403,2.4219,0.7018,2.6467,2.1952,-0.4516,-0.000798,1.3379,0.2967,1.435,1.2611,-0.174,-0.000479,1.3487,0.1412,1.3122,1.2835,-0.0288,-4.3e-05
pair_3079_binder,Binder,12267,1.3808,0.5406,1.3102,1.3147,0.0045,-9e-06,1.7403,0.4517,2.0038,1.516,-0.4878,-0.001136,2.777,0.922,3.0532,2.9606,-0.0926,-0.000352,1.5944,0.4451,1.5917,1.7359,0.1442,0.000571,1.6806,0.3295,1.4987,2.0445,0.5458,0.001694
pair_3080_binder,Binder,12267,1.4484,0.5557,1.2891,1.5765,0.2874,0.001226,1.9581,0.5256,1.7514,2.3459,0.5945,0.002077,1.7641,0.6282,2.2573,1.577,-0.6802,-0.0017,1.1713,0.3313,1.388,1.1041,-0.2838,-0.000889,1.5513,0.3265,1.4369,1.3734,-0.0635,0.000274
pair_3085_binder,Binder,12267,1.7622,0.5604,1.6662,1.8396,0.1734,6.3e-05,2.9233,0.9936,2.1779,3.9486,1.7707,0.005557,2.8486,0.8637,2.4212,2.5799,0.1587,0.000883,1.4584,0.4123,1.1491,1.2235,0.0744,0.000393,2.0038,0.2161,1.9855,2.2253,0.2398,0.000678
pair_3086_binder,Binder,12267,1.4337,0.367,1.3427,1.4859,0.1432,4.4e-05,2.6485,0.8686,1.624,2.7488,1.1248,0.002669,3.9142,1.7695,2.1333,4.1911,2.0579,0.007674,2.0422,0.7096,1.3408,2.103,0.7622,0.002787,2.0984,0.4058,1.557,2.3177,0.7607,0.002144
pair_3087_binder,Binder,12267,1.7726,0.5308,1.6813,1.5845,-0.0968,0.0003,2.2345,0.5838,2.1625,2.7222,0.5597,0.001781,2.219,0.7482,2.0032,2.7046,0.7014,0.002202,1.5222,0.5232,1.2621,2.1512,0.8891,0.002572,1.9296,0.4136,1.5751,2.3229,0.7478,0.002511
pair_3088_binder,Binder,12267,1.6287,0.527,1.4025,1.5797,0.1773,0.000792,3.4593,0.9018,2.9158,2.9559,0.0402,8e-06,4.0402,1.6401,2.906,4.9232,2.0172,0.007015,1.6147,0.7041,1.2447,2.02,0.7753,0.00291,2.0336,0.3698,1.7253,2.1499,0.4246,0.001493
pair_3091_binder,Binder,12267,1.3267,0.4676,1.1507,1.2665,0.1157,0.000197,2.2133,0.7997,1.3928,3.0735,1.6807,0.004507,2.5258,0.8777,2.5128,2.6643,0.1515,0.000409,1.4109,0.333,1.3678,1.5354,0.1676,0.000539,1.624,0.2131,1.4462,1.6484,0.2022,0.000589
