seq_id,ligand_region,n_frames,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,seq_type
bind_019_binder,core,1227,0.5941,0.4344,0.3236,0.2339,0.2584,Binder
bind_020_binder,core,1227,0.4034,0.1092,0.0774,0.0497,0.0505,Binder
bind_022_binder,core,1227,0.6642,0.7612,0.5134,0.2852,0.3073,Binder
bind_034_binder,core,1227,0.5151,0.7335,0.498,0.4548,0.4564,Binder
bind_041_binder,core,1227,0.5713,0.3667,0.2445,0.198,0.216,Binder
bind_043_binder,core,1227,0.5681,0.7164,0.4784,0.4156,0.4597,Binder
bind_069_binder,core,1227,0.1475,0.1532,0.0978,0.0913,0.0994,Binder
bind_076_binder,core,1227,0.1353,0.6316,0.0619,0.053,0.0546,Binder
bind_080_binder,core,1227,0.3007,0.6479,0.2869,0.2543,0.282,Binder
bind_083_binder,core,1227,0.4108,0.8386,0.3945,0.3529,0.4034,Binder
bind_088_binder,core,1227,0.1785,0.8394,0.1614,0.088,0.097,Binder
bind_099_binder,core,1227,0.7221,0.7938,0.7001,0.6919,0.696,Binder
bind_100_binder,core,1227,0.5355,0.5069,0.2885,0.1434,0.154,Binder
bind_101_binder,core,1227,0.2062,0.8329,0.1989,0.1557,0.1565,Binder
bind_102_binder,core,1227,0.5607,0.8011,0.4743,0.3032,0.3374,Binder
bind_110_binder,core,1227,0.1622,0.4947,0.1035,0.0579,0.0587,Binder
pair_3061_binder,core,1227,0.4971,0.5697,0.3586,0.2478,0.2559,Binder
pair_3062_binder,core,1227,0.621,0.7628,0.5648,0.5232,0.5958,Binder
pair_3063_binder,core,1227,0.6496,0.7963,0.546,0.3439,0.4067,Binder
pair_3066_binder,core,1227,0.5387,0.5949,0.4344,0.3553,0.4091,Binder
pair_3067_binder,core,1227,0.7188,0.7009,0.4939,0.2836,0.313,Binder
pair_3068_binder,core,1227,0.5844,0.8419,0.5224,0.3896,0.4303,Binder
pair_3069_binder,core,1227,0.2013,0.9397,0.1964,0.1027,0.1076,Binder
pair_3070_binder,core,1227,0.7319,0.7653,0.6292,0.586,0.6748,Binder
pair_3071_binder,core,1227,0.5689,0.3374,0.251,0.1785,0.2021,Binder
pair_3072_binder,core,1227,0.6911,0.9022,0.6447,0.3773,0.4124,Binder
pair_3073_binder,core,1227,0.5623,0.6487,0.401,0.1614,0.1687,Binder
pair_3074_binder,core,1227,0.7156,0.7971,0.5941,0.3945,0.4491,Binder
pair_3075_binder,core,1227,0.6072,0.63,0.5029,0.4629,0.5224,Binder
pair_3076_binder,core,1227,0.6292,0.7685,0.5037,0.2021,0.22,Binder
pair_3077_binder,core,1227,0.7205,0.7881,0.6634,0.6349,0.7262,Binder
pair_3078_binder,core,1227,0.3236,0.2258,0.1589,0.1247,0.1402,Binder
