name,Group,Label,D_58,W_58,D_59,W_59,D_62,W_62,D_83,W_83,D_87,W_87,D_88,W_88,D_89,W_89,D_92,W_92,D_110,W_110,D_115,W_115,D_116,W_116,D_117,W_117,D_120,W_120,D_122,W_122,D_159,W_159,D_160,W_160,D_163,W_163,D_164,W_164,mean_n_neg_charged,std_n_neg_charged,occ_n_neg_charged_gt0,Y23 RMSF (A),R79 RMSF (A),I110 RMSF (A),G163 RMSF (A),Gate (r84-90) mean (A),Gate (r84-90) SD (A),Gate RMSD mean (A),Gate RMSD SD (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch drift100 (A),Latch slope (A/ns),max_saltbridge_occupancy_pct,n_saltbridges_gt50pct,mean_top3_occupancy_pct,delta_D_58,delta_W_58,delta_D_59,delta_W_59,delta_D_62,delta_W_62,delta_D_83,delta_W_83,delta_D_87,delta_W_87,delta_D_88,delta_W_88,delta_D_89,delta_W_89,delta_D_92,delta_W_92,delta_D_110,delta_W_110,delta_D_115,delta_W_115,delta_D_116,delta_W_116,delta_D_117,delta_W_117,delta_D_120,delta_W_120,delta_D_122,delta_W_122,delta_D_159,delta_W_159,delta_D_160,delta_W_160,delta_D_163,delta_W_163,delta_D_164,delta_W_164,hydration_count_pocket_4A_mean,hydration_count_pocket_4A_std,hydration_count_pocket_4A_min,hydration_count_pocket_4A_max,hydration_count_pocket_4A_early20_mean,hydration_count_pocket_4A_late20_mean,hydration_count_pocket_4A_drift20,hydration_count_pocket_4A_slope,hydration_count_pocket_4A_slope_per_ns,gate_bridge_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,co_occurrence_occupancy,mean_run_duration_ns
bind_022_binder,Binder,1,0.0481,0.8892,0.3961,0.577,0.1663,0.3659,0.0587,0.0407,0.3309,0.1174,0.5208,0.5452,0.5208,0.2429,0.1524,0.1027,0.0522,0.5029,0.4703,0.5819,0.7319,0.7751,0.6463,0.621,0.0945,0.4466,0.6813,0.8549,0.6039,0.4344,0.6039,0.0383,0.1638,0.1874,0.2543,0.0212,0.9307084046629168,0.2796167916493747,0.9238607646531344,,,,,,,,,,,,,,,93.39,2,48.57,-0.0481,-0.8892,-0.1312,-0.5453,0.1663,-0.11730000000000002,0.0587,0.0375,0.3309,0.1158,0.12629999999999997,0.3097,0.08230000000000004,0.0562,0.15080000000000002,0.0945,0.0522,-0.26239999999999997,0.19240000000000002,0.14349999999999996,0.718,0.3806,0.6267999999999999,0.322,0.0766,-0.14020000000000002,-0.6382000000000001,-0.7906,0.6039,0.4344,0.6039,0.0383,0.1638,0.1874,0.2511,0.008199999999999999,71.91035044824775,6.798661030579946,49.0,89.0,63.93061224489796,73.51428571428572,9.583673469387762,9.460199262521602,0.0205768336324559,0.7219,0.6034,0.7069,0.7031,1.3298
bind_019_binder,Binder,1,0.1907,0.8394,0.0359,0.6398,0.0742,0.4197,0.5705,0.1508,0.2698,0.0994,0.3178,0.194,0.4352,0.3439,0.6316,0.5803,0.3284,0.3619,0.78,0.5151,0.0399,0.128,0.5436,0.3252,0.6756,0.1638,0.7229,0.2478,0.6308,0.2624,0.7637,0.0244,0.1614,0.0962,0.1361,0.009,0.351186109073123,0.4797259348181324,0.3500448357381593,,,,,,,,,,,,,,,91.34,1,36.93,-0.1907,-0.8370000000000001,-0.029299999999999996,-0.3725,0.0644,0.040700000000000014,0.4507,0.1361,0.2698,0.0994,0.28440000000000004,0.1696,0.06519999999999998,0.16700000000000004,0.47439999999999993,0.06770000000000004,0.056999999999999995,0.20540000000000003,0.661,0.3659,0.039099999999999996,0.1036,0.5428,0.25920000000000004,0.6731999999999999,0.1149,-0.5762,-0.2445,0.6308,0.2624,0.7637,0.023600000000000003,0.119,0.0938,0.11900000000000001,-0.003999999999999999,72.33333333333333,6.737762710729847,50.0,93.0,66.57959183673469,77.15102040816326,10.57142857142857,13.86546992346471,0.0301587165273838,0.527,0.2954,0.3253,0.434,0.6969
bind_020_binder,Binder,1,0.2861,0.6764,0.379,0.2755,0.0522,0.2021,0.2738,0.0505,0.5053,0.3782,0.3244,0.4059,0.3504,0.1337,0.6373,0.2347,0.1508,0.0196,0.013,0.1622,0.022,0.317,0.3871,0.2999,0.956,0.0839,0.6447,0.4287,0.7082,0.5257,0.4189,0.031,0.4857,0.2771,0.1361,0.0269,0.2694220265753648,0.4436595521020461,0.2694220265753648,,,,,,,,,,,,,,,93.96,1,40.03,-0.2861,-0.6715,0.10600000000000001,-0.14750000000000002,0.0522,0.13770000000000002,0.2738,0.0505,0.5053,0.36519999999999997,0.32280000000000003,0.36269999999999997,0.3504,0.1337,0.6234999999999999,0.1988,0.15,0.0196,0.013,0.1622,0.022,0.3162,0.3871,0.2999,0.21189999999999998,-0.025300000000000003,-0.6447,-0.39690000000000003,0.26160000000000005,0.07419999999999999,0.4116,0.0302,0.2975,-0.027700000000000002,0.1353,-0.010599999999999998,68.58272208638957,6.516004602563501,48.0,89.0,61.285714285714285,70.39183673469388,9.106122448979598,9.291662352763147,0.0202102498156892,0.7024,0.2706,0.3126,0.4145,0.5938
nonb_006_nb,False Positive,0,0.0073,0.2502,0.5077,0.0424,0.4768,0.0611,0.2176,0.0049,0.304,0.0081,0.4067,0.5273,0.5632,0.1133,0.4491,0.035,0.2363,0.0758,0.291,0.4556,0.0065,0.4654,0.6333,0.7392,0.2388,0.1182,0.9853,0.881,0.5493,0.3081,0.4914,0.3725,0.4026,0.4042,0.1239,0.4906,0.0029347028613352,0.0540933487635121,0.0029347028613352,,,,,,,,,,,,,,,83.03,2,46.84,-0.0073,-0.2502,0.2519,-0.008900000000000002,0.4744,0.0187,0.2168,0.0049,0.3024,0.0081,0.4051,0.383,0.41,0.058699999999999995,0.4458,0.0285,0.2314,0.0407,0.09539999999999998,0.2159,0.0049,0.26080000000000003,0.2999,0.40590000000000004,0.1997,0.04479999999999999,-0.15239999999999998,-0.6716,0.5493,0.29259999999999997,0.489,0.3162,0.4018,0.21589999999999998,0.0774,-0.012300000000000033,73.66748166259168,6.13767159820251,55.0,90.0,71.34693877551021,76.20816326530613,4.861224489795916,7.773133805340743,0.0169073057212414,0.5885,0.455,0.5202,0.533,0.8823
nonb_008_nb,False Positive,0,0.9324,0.9519,0.6308,0.0,0.2469,0.0008,0.7156,0.4311,0.0277,0.3513,0.2804,0.7555,0.546,0.6064,0.1084,0.0196,0.4214,0.3431,0.8786,0.6072,0.0,0.1475,0.4776,0.5436,0.9804,0.454,0.2934,0.3399,0.3993,0.6055,0.4303,0.0456,0.7245,0.348,0.132,0.1467,0.8619874459933154,0.3617553585455642,0.8560365207467189,,,,,,,,,,,,,,,97.71,2,64.57,-0.9324,-0.9519,-0.6308,0.0,0.05710000000000001,0.0008,0.7156,0.3659,0.0277,0.3,0.27959999999999996,0.5126,0.546,0.5640000000000001,0.1084,0.0196,0.4214,0.3431,0.8786,0.5932999999999999,0.0,0.141,0.2094,0.4181,0.9804,0.454,0.24860000000000002,-0.13040000000000002,0.15650000000000003,0.23309999999999997,0.4262,0.044000000000000004,0.5469,0.1646,0.132,0.1459,70.61939690301548,5.23336876376289,54.0,88.0,71.3061224489796,69.26938775510204,-2.0367346938775484,-2.2996264823236143,-0.0050019064324602,0.8988,0.3928,0.4333,0.6754,0.7278
nonb_009_nb,False Positive,0,0.0293,0.3871,0.6243,0.3993,0.6732,0.0,0.0611,0.0033,0.2421,0.2282,0.1614,0.4042,0.207,0.0652,0.52,0.0236,0.2885,0.0253,0.696,0.2029,0.0,0.1337,0.3513,0.3888,0.3879,0.0139,0.9878,0.881,0.3953,0.7669,0.2095,0.2518,0.5469,0.3896,0.3121,0.52,0.0023640661938534,0.0485641574093951,0.0023640661938534,,,,,,,,,,,,,,,52.04,1,22.49,-0.0293,-0.3725,0.5607000000000001,-0.3415,0.6708,0.0,0.0611,0.0033,0.2421,0.2233,0.1614,0.2461,0.207,0.057100000000000005,0.52,0.022000000000000002,0.2885,0.020300000000000002,0.6512,0.04729999999999998,0.0,-0.021199999999999997,0.251,0.06190000000000001,0.38630000000000003,0.0058,-0.03180000000000005,-0.8729,0.2559,0.5525,0.15,0.10439999999999999,0.392,0.23149999999999998,0.1915,-0.4645,81.5916870415648,6.642116688662282,55.0,105.0,78.19183673469388,79.42857142857143,1.2367346938775512,0.5780524517572899,0.0012573190902822,0.5967,0.1694,0.1784,0.3051,0.5075
pair_3069_binder,Binder,1,0.0147,0.6626,0.0057,0.5738,0.3007,0.3765,0.3211,0.0432,0.3211,0.1834,0.1573,0.4279,0.5746,0.031,0.8362,0.3447,0.357,0.0399,0.3121,0.4923,0.0081,0.5151,0.3439,0.4279,0.987,0.4564,0.89,0.1932,0.784,0.8745,0.4417,0.3945,0.0293,0.6805,0.0049,0.3936,0.0009782342871117,0.0337685710779008,0.0008967147631857,1.196,0.789,0.783,1.13,0.37043,0.08798,1.3274,0.4365,-0.0556,-0.00015,2.0488,0.3788,0.3165,0.000789,96.15,1,32.05,-0.0147,-0.6626,-0.0057,-0.5705,-0.2974,-0.3741,0.3211,-0.023600000000000003,0.3211,0.1834,0.1573,0.4279,0.5746,0.031,0.5224,-0.3195,0.1679,0.0023999999999999994,0.3121,0.4923,0.0081,0.5151,0.3439,0.4279,-0.17930000000000001,-0.2763,-0.89,-0.19240000000000002,0.784,0.8745,0.4385,0.3162,0.0228,0.5412,-0.0033000000000000004,-0.2518,71.21923390383049,5.856336719459945,49.0,89.0,68.77142857142857,71.53877551020408,2.7673469387755034,3.720180307893245,0.0080917461835633,0.5817,0.1574,0.1769,0.4385,0.6152
pair_3070_binder,Binder,1,0.2714,0.6764,0.1174,0.4564,0.1703,0.4914,0.5558,0.0122,0.3089,0.1622,0.5672,0.6496,0.2453,0.2298,0.5012,0.3464,0.0024,0.2437,0.4271,0.7286,0.5803,0.8566,0.8582,0.6267,0.9544,0.4336,0.5314,0.5803,0.6438,0.4882,0.5542,0.0823,0.3871,0.2347,0.216,0.0619,0.1902665688432379,0.3925114031768496,0.1902665688432379,1.538,0.718,0.665,0.637,0.31829,0.04939,1.7942,0.5809,0.7109,0.002501,1.9524,0.5834,0.9233,0.002989,89.25,1,41.0,-0.2714,-0.6764,0.051399999999999994,-0.3235,0.16629999999999998,-0.2217,0.5558,0.0114,0.3089,0.1622,0.5672,0.6496,0.2453,0.2298,0.5012,0.05459999999999998,0.0008,-0.12229999999999999,0.4271,0.7286,0.5803,0.8566,0.8582,0.6234000000000001,-0.6682999999999999,-0.2649,-0.5314,-0.5803,0.6438,0.4882,-0.0701,0.0823,0.03589999999999999,0.1067,-0.2136,-0.0619,69.82233088834556,7.835787550150892,44.0,90.0,59.53469387755102,72.14693877551021,12.612244897959188,14.873234949786164,0.0323507013589693,0.8156,0.6687,0.7886,0.8058,1.5068
pair_3074_binder,Binder,1,0.4026,0.8199,0.498,0.3121,0.0782,0.141,0.4654,0.0114,0.1516,0.1271,0.7579,0.5729,0.546,0.0587,0.6911,0.2062,0.5591,0.172,0.6887,0.4874,0.0,0.4148,0.4417,0.6324,0.9421,0.815,0.0196,0.392,0.476,0.6675,0.3488,0.251,0.5917,0.3692,0.5297,0.5852,0.024700415749572,0.1552105190100539,0.024700415749572,2.838,0.703,0.605,0.671,0.33371,0.0508,1.1716,0.4115,0.2856,0.000444,2.4979,0.3209,0.0493,-0.000102,92.78,1,32.42,-0.4026,-0.8199,-0.498,-0.2665,-0.075,-0.0522,0.4654,0.0114,0.1516,0.1271,0.7579,0.5729,0.546,0.0587,0.687,0.0537,0.5591,0.15560000000000002,0.6887,0.4874,0.0,0.4148,0.4417,0.6324,0.7254,-0.02849999999999997,-0.0196,-0.295,0.476,0.6675,0.3488,0.19319999999999998,0.2665,0.3676,0.06599999999999995,0.14749999999999996,69.0717196414018,5.758922680620609,52.0,95.0,70.01224489795918,69.76326530612245,-0.2489795918367292,-1.8258005941240645,-0.0039712900361589,0.6859,0.2819,0.3088,0.545,0.5663
pair_3092_binder,Binder,1,0.0114,0.6129,0.5045,0.3325,0.1198,0.2078,0.6112,0.0269,0.1834,0.1157,0.3741,0.2641,0.2681,0.1353,0.6178,0.3187,0.1508,0.2029,0.6406,0.4303,0.5827,0.3333,0.7783,0.4808,0.956,0.4466,0.5876,0.5297,0.599,0.3456,0.3472,0.0652,0.3928,0.2355,0.3798,0.0888,0.0248634547974239,0.1557089060168378,0.0248634547974239,2.838,0.703,0.605,0.671,0.33371,0.0508,1.2792,0.5301,-0.6934,-0.001879,2.5886,1.0893,0.1878,-0.000607,91.45,1,40.59,-0.0114,-0.6113,0.03739999999999999,-0.2478,0.1182,0.014700000000000005,0.6112,0.0269,0.1834,0.1157,0.3741,0.2641,0.2681,0.1353,0.6072,0.17519999999999997,0.10919999999999999,0.1166,0.6406,0.4295,0.5827,0.3333,0.7783,0.4784,-0.5671999999999999,0.04479999999999998,-0.5876,-0.5192,0.599,0.3456,0.3284,0.0636,0.3366,0.23229999999999998,-0.3716,-0.07329999999999999,67.85411572942135,6.4052804415653,47.0,88.0,62.57959183673469,72.2326530612245,9.653061224489804,10.4646512109459,0.0227616122043412,0.3958,0.2121,0.2489,0.2909,0.7122
