seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
bind_019_binder,core,1334,0.0,500.0,0.6724,0.4603,0.3846,0.2924,0.3231,0.375,154,328,0.9497,0.75,Binder
bind_020_binder,core,1334,0.0,500.0,0.4738,0.1499,0.1154,0.069,0.0712,1.875,77,90,0.4481,0.375,Binder
bind_022_binder,core,1334,0.0,500.0,0.6912,0.8126,0.563,0.3088,0.3343,0.0,229,302,0.6747,0.375,Binder
bind_034_binder,core,1334,0.0,500.0,0.5922,0.8051,0.5802,0.5292,0.5322,0.0,145,129,1.8259,0.75,Binder
bind_041_binder,core,1334,0.0,500.0,0.6319,0.4385,0.3103,0.2496,0.2714,4.5,164,265,0.7614,0.375,Binder
bind_043_binder,core,1334,0.0,500.0,0.6154,0.7436,0.5247,0.452,0.5037,27.375,88,185,2.5696,0.375,Binder
bind_069_binder,core,1334,0.0,500.0,0.1792,0.1739,0.1147,0.1049,0.1169,1.125,86,139,0.6105,0.375,Binder
bind_076_binder,core,1334,0.0,500.0,0.1867,0.6732,0.1064,0.0945,0.1004,1.875,74,68,0.6385,0.375,Binder
bind_080_binder,core,1334,0.0,500.0,0.2984,0.6274,0.2909,0.2616,0.2931,54.375,70,73,1.8696,0.375,Binder
bind_083_binder,core,1334,0.0,500.0,0.473,0.8651,0.4633,0.4198,0.4843,1.5,182,293,1.1538,0.375,Binder
bind_088_binder,core,1334,0.0,500.0,0.1852,0.8861,0.1732,0.0975,0.1072,0.0,92,88,0.5299,0.375,Binder
bind_099_binder,core,1334,0.0,500.0,0.7699,0.8111,0.7369,0.7241,0.7294,1.5,54,39,6.7083,1.125,Binder
bind_100_binder,core,1334,0.0,500.0,0.5772,0.5967,0.3546,0.1604,0.1732,0.0,83,137,0.9669,0.375,Binder
bind_101_binder,core,1334,0.0,500.0,0.2796,0.8786,0.2429,0.1897,0.1919,2.25,116,102,0.8179,0.375,Binder
bind_102_binder,core,1334,0.0,500.0,0.6319,0.8486,0.545,0.3396,0.3823,0.0,149,294,1.1401,0.375,Binder
bind_110_binder,core,1334,0.0,500.0,0.2129,0.5907,0.1552,0.0922,0.0975,2.625,85,93,0.5426,0.375,Binder
pair_3061_binder,core,1334,0.0,500.0,0.5562,0.6222,0.4205,0.3021,0.3118,8.25,160,135,0.9445,0.375,Binder
pair_3078_binder,core,1334,0.0,500.0,0.3613,0.2661,0.1762,0.1357,0.1514,1.125,111,161,0.6115,0.375,Binder
pair_3080_binder,core,1334,0.0,500.0,0.2339,0.9025,0.2106,0.1582,0.1724,1.5,146,212,0.542,0.375,Binder
nonb_006_nb,core,1334,0.0,500.0,0.7654,0.94,0.7421,0.5637,0.7046,0.0,188,411,1.5,0.75,False Positive
nonb_008_nb,core,1334,0.0,500.0,0.7181,0.5667,0.4663,0.2144,0.2324,3.0,203,185,0.5283,0.375,False Positive
nonb_009_nb,core,1334,0.0,500.0,0.6469,0.2286,0.1724,0.1327,0.1447,0.375,96,111,0.6914,0.375,False Positive
nonb_010_nb,core,1334,0.0,500.0,0.5982,0.9115,0.5495,0.1972,0.2054,1.125,191,264,0.5164,0.375,False Positive
nonb_011_nb,core,1334,0.0,500.0,0.572,0.4955,0.3321,0.2264,0.2601,46.5,168,328,0.6741,0.375,False Positive
nonb_013_nb,core,1334,0.0,500.0,0.1852,0.075,0.0232,0.0135,0.0142,3.75,13,16,0.5192,0.375,False Positive
nonb_014_nb,core,1334,0.0,500.0,0.2279,0.5292,0.2091,0.1462,0.1567,1.875,77,76,0.9497,0.75,False Positive
nonb_017_nb,core,1334,0.0,500.0,0.2414,0.5907,0.2301,0.1724,0.1859,3.375,124,201,0.6956,0.375,False Positive
nonb_018_nb,core,1334,0.0,500.0,0.5037,0.3433,0.1792,0.0667,0.0697,3.0,80,92,0.4172,0.375,False Positive
nonb_019_nb,core,1334,0.0,500.0,0.8103,0.0472,0.039,0.0232,0.0232,9.0,20,21,0.5813,0.375,False Positive
nonb_021_nb,core,1334,0.0,500.0,0.7264,0.3748,0.3231,0.2369,0.2856,0.75,141,203,0.8404,0.375,False Positive
nonb_022_nb,core,1334,0.0,500.0,0.6364,0.3853,0.2961,0.1312,0.1417,10.5,103,128,0.6371,0.375,False Positive
nonb_023_nb,core,1334,0.0,500.0,0.1229,0.0577,0.054,0.048,0.0495,0.375,38,25,0.6316,0.375,False Positive
nonb_024_nb,core,1334,0.0,500.0,0.6544,0.8598,0.6267,0.5705,0.6409,0.75,271,453,1.053,0.75,False Positive
nonb_025_nb,core,1334,0.0,500.0,0.1664,0.9513,0.1612,0.1199,0.1349,0.375,85,117,0.7059,0.375,False Positive
nonb_026_nb,core,1334,0.0,500.0,0.3816,0.8208,0.3568,0.3021,0.3208,0.75,235,181,0.6431,0.375,False Positive
nonb_029_nb,core,1334,0.0,500.0,0.6177,0.904,0.5795,0.4115,0.4648,2.625,268,442,0.7682,0.375,False Positive
nonb_032_nb,core,1334,0.0,500.0,0.5877,0.9483,0.5802,0.5255,0.5825,1.875,218,305,1.2058,0.75,False Positive
nonb_046_nb,core,1334,0.0,500.0,0.6807,0.7826,0.6049,0.5465,0.6199,0.75,75,130,3.645,0.375,False Positive
