feature,mean_abs_shap
hydration_count_pocket_4A_early20_mean,0.05254116286338954
D_59,0.03145998442331861
hydration_count_pocket_4A_min,0.02888405234672368
delta_D_110,0.02479553281623094
delta_D_122,0.02396712748094514
hydration_count_pocket_4A_mean,0.023469879001189603
W_58,0.01892187472820723
W_59,0.01790518686857277
delta_D_83,0.017896791813399843
delta_D_164,0.015678812317454095
delta_W_58,0.015460829251147848
max_saltbridge_occupancy_pct,0.015397208382056368
D_83,0.013567533485367914
delta_D_159,0.012125349844959641
W_92,0.012004275083982068
delta_W_87,0.011730306709498007
mean_top3_occupancy_pct,0.011323301644172563
delta_D_163,0.010839514578945405
D_89,0.010771465387484535
hydration_count_pocket_4A_max,0.010446636479489003
delta_W_159,0.009543307567585283
hydration_count_pocket_4A_slope,0.008762235427283879
D_164,0.008703770847947311
D_92,0.007835564815577518
hydration_count_pocket_4A_late20_mean,0.007576533662053494
mean_run_duration_ns,0.007544531450979623
delta_D_116,0.007168854570961285
delta_W_62,0.007139868089443538
W_122,0.006680506660484543
D_116,0.006547293389345095
triple_bridge_occupancy,0.006310680514090645
D_110,0.006085514746331915
W_115,0.005987256739582609
hydration_count_pocket_4A_slope_per_ns,0.005897761432461777
delta_W_88,0.005406909252123584
delta_W_116,0.0053876329163688435
delta_W_117,0.0051585061218531215
delta_D_88,0.005120053475459931
delta_W_110,0.0042527370197546314
hydration_count_pocket_4A_drift20,0.003770292520479849
std_n_neg_charged,0.002972809990703202
occ_n_neg_charged_gt0,0.002765073539144266
mean_n_neg_charged,0.0026118575843821663
n_saltbridges_gt50pct,0.002407943865263717
hydration_count_pocket_4A_std,0.0019107949286741662
