Sequence,Group,N frames,Gate RMSD mean (A),Gate RMSD SD (A),Gate RMSD early100 mean (A),Gate RMSD late100 mean (A),Gate drift100 (A),Gate slope (A/ns),Latch RMSD mean (A),Latch RMSD SD (A),Latch RMSD early100 mean (A),Latch RMSD late100 mean (A),Latch drift100 (A),Latch slope (A/ns),Lb7a5 RMSD mean (A),Lb7a5 RMSD SD (A),Lb7a5 RMSD early100 mean (A),Lb7a5 RMSD late100 mean (A),Lb7a5 drift100 (A),Lb7a5 slope (A/ns),Recoil RMSD mean (A),Recoil RMSD SD (A),Recoil RMSD early100 mean (A),Recoil RMSD late100 mean (A),Recoil drift100 (A),Recoil slope (A/ns),Whole RMSD mean (A),Whole RMSD SD (A),Whole RMSD early100 mean (A),Whole RMSD late100 mean (A),Whole drift100 (A),Whole slope (A/ns)
seq16_binder,Binder,5600,1.5252,0.4276,1.3962,1.6524,0.2562,0.002252,2.5119,0.4291,2.5193,2.4803,-0.039,-0.000226,2.4622,0.6317,2.5211,2.3879,-0.1332,-0.000864,1.2557,0.3092,1.2806,1.2316,-0.049,7e-06,1.4315,0.1732,1.3754,1.4861,0.1107,0.001217
seq14_binder,Binder,5600,2.028,0.4167,1.8333,2.1932,0.3599,0.003257,1.8099,0.4281,1.7937,1.7881,-0.0056,-0.001117,1.3367,0.4019,1.2848,1.3737,0.0888,0.000216,2.8156,0.2418,2.8555,2.7726,-0.0829,-0.000777,1.6065,0.1563,1.6088,1.5806,-0.0283,-0.000139
seq10_binder,Binder,5600,1.3865,0.3827,1.4907,1.3006,-0.1901,-0.001294,2.9095,0.6154,2.6132,3.2254,0.6122,0.003657,2.0195,0.8314,2.0638,2.0316,-0.0322,0.000793,1.1395,0.2992,1.0126,1.2955,0.2829,0.002224,1.3878,0.1764,1.4034,1.3906,-0.0129,-3e-05
seq17_binder,Binder,5600,2.4108,0.4317,2.356,2.4582,0.1022,0.000885,2.1087,0.3375,2.0541,2.1433,0.0891,0.000396,4.1806,1.208,3.4685,4.797,1.3285,0.011295,2.5691,0.5436,2.3018,2.8052,0.5034,0.004235,1.6731,0.1654,1.5923,1.7478,0.1555,0.00132
seq39_binder,Binder,5600,1.8366,0.585,1.8929,1.7649,-0.128,-0.001463,1.9205,0.473,2.0049,1.8538,-0.1512,-0.001858,1.8088,0.6546,1.7871,1.873,0.0859,0.001514,1.104,0.3084,1.0569,1.1656,0.1087,0.001516,1.2342,0.1552,1.2104,1.2716,0.0612,0.000672
seq42_binder,Binder,5600,1.715,0.7544,1.4199,2.0516,0.6317,0.007232,3.0407,1.0874,2.1875,3.8701,1.6826,0.01558,1.5636,0.5251,1.5238,1.5556,0.0318,0.000234,0.8499,0.2364,0.8724,0.8124,-0.06,-0.000565,1.3655,0.1893,1.2633,1.4698,0.2066,0.001941
pair_3069_binder,Binder,5600,2.362,0.5229,2.1584,2.5062,0.3478,0.002687,3.7229,1.1518,2.6377,4.7899,2.1523,0.016651,3.2063,0.6912,3.3013,3.1612,-0.1401,-0.00149,1.7729,0.5049,2.113,1.4656,-0.6474,-0.005137,1.8798,0.3151,1.633,2.1135,0.4804,0.004268
pair_3070_binder,Binder,5600,2.342,0.7582,2.8544,1.8274,-1.027,-0.007395,1.5315,0.3056,1.3943,1.6917,0.2974,0.002466,2.0341,0.9471,2.4793,1.6318,-0.8475,-0.005374,1.5027,0.2951,1.4446,1.5876,0.143,0.001413,1.5794,0.1564,1.633,1.5371,-0.0959,-0.000583
pair_3074_binder,Binder,5600,1.4704,0.4055,1.5469,1.4007,-0.1462,-0.001792,2.1392,0.4409,1.9512,2.3161,0.365,0.00324,2.7086,1.4548,3.5639,1.9288,-1.6351,-0.016296,1.4361,0.4027,1.453,1.4097,-0.0434,-0.001449,2.0353,0.1769,2.0689,2.0071,-0.0618,-0.00091
pair_3092_binder,Binder,5600,1.4826,0.4313,1.356,1.5956,0.2396,0.001222,1.7648,0.4399,1.458,2.0554,0.5974,0.004728,2.7639,1.5156,3.6689,1.9356,-1.7333,-0.017059,1.7322,0.3793,1.6862,1.7642,0.0781,-0.000357,1.4982,0.1917,1.558,1.4445,-0.1135,-0.001376
pair_3098_binder,Binder,5600,2.1141,0.6251,1.7933,2.4233,0.63,0.005013,2.2789,0.7207,1.7344,2.772,1.0376,0.007073,2.2249,0.6975,2.3619,2.0997,-0.2622,-0.000895,1.5571,0.2505,1.6013,1.5229,-0.0784,2.1e-05,1.8806,0.2931,1.6561,2.0909,0.4347,0.004102
pair_3059_nb,False Positive,5600,1.4522,0.4739,1.3577,1.5026,0.1449,0.00152,3.3962,1.0135,2.5554,4.2104,1.6551,0.011719,2.812,1.0472,2.0795,3.5419,1.4623,0.009451,1.419,0.3918,1.1743,1.7014,0.527,0.00362,2.018,0.6328,1.591,2.4723,0.8813,0.008781
pair_3062_binder,Binder,5600,1.0798,0.3644,1.1846,0.991,-0.1936,-0.000985,1.2887,0.3072,1.2459,1.3419,0.096,0.001348,1.8939,0.86,1.7571,2.0429,0.2858,0.002541,1.3886,0.3395,1.273,1.5307,0.2577,0.002557,1.7158,0.3447,1.5192,1.8963,0.3771,0.004137
